spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0.0,0.0,8.0,4.0,789.0,11.0,10.0,0.0,1.0,437.0,96.0,106.0,4.0,1155683475.0,0.59,0.7,1.0,1767393602.0,1703235543.0,67.0,1.0,684.0,0.0,38.0,3.0,202.0,1.0,1015.221
0.0,0.0,10.0,5.0,822.0,9.0,58.0,1.0,1.0,471.0,92.0,36.0,5.0,1942895410.0,0.57,0.78,0.0,1389874599.0,1277492774.0,44.0,0.0,850.0,1.0,36.0,3.0,475.0,10.0,369.559
1.0,799.0,13.0,6.0,1450.0,10.0,46.0,1.0,0.0,253.0,126.0,88.0,8.0,1892626340.0,0.69,0.75,0.0,1934325464.0,1491880281.0,38.0,1.0,543.0,0.0,35.0,3.0,346.0,2.0,289.954
0.0,0.0,14.0,7.0,1385.0,11.0,30.0,0.0,0.0,387.0,94.0,57.0,3.0,1635543808.0,0.66,0.57,1.0,1985646336.0,1558098688.0,32.0,0.0,976.0,1.0,41.0,4.0,306.0,7.0,280.183
0.0,0.0,14.0,7.0,1349.0,11.0,32.0,0.0,0.0,403.0,92.0,62.0,3.0,1622263296.0,0.67,0.57,1.0,1907424512.0,1568802816.0,30.0,0.0,933.0,1.0,41.0,4.0,315.0,7.0,257.308
0.0,0.0,13.0,6.0,1209.0,11.0,33.0,0.0,0.0,383.0,88.0,71.0,4.0,1674268928.0,0.69,0.63,1.0,1680724736.0,1640934272.0,39.0,0.0,840.0,1.0,35.0,4.0,309.0,6.0,269.369
1.0,863.0,8.0,4.0,867.0,13.0,29.0,1.0,0.0,261.0,54.0,39.0,1.0,1594537808.0,0.63,0.6,1.0,1603467641.0,1850711707.0,33.0,1.0,868.0,0.0,47.0,4.0,388.0,4.0,998.637
1.0,971.0,12.0,6.0,1289.0,10.0,14.0,1.0,0.0,202.0,127.0,110.0,1.0,1181209380.0,0.83,0.68,0.0,1975135662.0,2116626358.0,26.0,1.0,807.0,1.0,45.0,3.0,269.0,5.0,250.807
0.0,0.0,10.0,5.0,650.0,8.0,61.0,1.0,1.0,207.0,108.0,87.0,7.0,2011336915.0,0.52,0.72,1.0,2088419569.0,1561227692.0,31.0,1.0,784.0,1.0,29.0,5.0,246.0,8.0,266.583
0.0,0.0,14.0,7.0,1355.0,11.0,31.0,0.0,0.0,395.0,89.0,61.0,3.0,1630124288.0,0.67,0.58,1.0,1841479680.0,1550497792.0,30.0,1.0,928.0,1.0,42.0,4.0,319.0,7.0,258.048
0.0,0.0,14.0,7.0,1337.0,11.0,31.0,0.0,0.0,397.0,89.0,64.0,3.0,1605422592.0,0.68,0.59,1.0,1857715712.0,1532209152.0,34.0,1.0,886.0,1.0,40.0,4.0,315.0,7.0,267.551
0.0,0.0,13.0,6.0,1224.0,11.0,31.0,0.0,0.0,374.0,87.0,69.0,4.0,1620677632.0,0.69,0.61,1.0,1694584320.0,1565502080.0,38.0,1.0,820.0,1.0,38.0,4.0,294.0,6.0,262.906
0.0,0.0,14.0,7.0,1391.0,10.0,51.0,1.0,1.0,427.0,79.0,79.0,3.0,1613158510.0,0.84,0.68,0.0,1709492487.0,1642061703.0,29.0,0.0,725.0,0.0,41.0,3.0,100.0,7.0,316.288
0.0,0.0,8.0,4.0,892.0,14.0,9.0,1.0,1.0,389.0,82.0,52.0,6.0,2103595291.0,0.82,0.85,1.0,1209634781.0,1770155193.0,60.0,1.0,583.0,0.0,41.0,4.0,330.0,5.0,986.6
0.0,0.0,12.0,6.0,1100.0,10.0,21.0,1.0,0.0,398.0,105.0,94.0,3.0,1959938564.0,0.65,0.83,1.0,1586659482.0,1164987464.0,49.0,1.0,660.0,0.0,28.0,4.0,432.0,1.0,289.809
1.0,924.0,12.0,6.0,1295.0,10.0,13.0,1.0,0.0,210.0,127.0,110.0,1.0,1200633600.0,0.82,0.69,0.0,1970260480.0,2105298944.0,28.0,0.0,801.0,1.0,45.0,3.0,255.0,5.0,272.075
1.0,944.0,12.0,6.0,1326.0,10.0,15.0,1.0,0.0,223.0,122.0,107.0,1.0,1244463360.0,0.78,0.68,0.0,1929025664.0,2049246208.0,29.0,0.0,802.0,1.0,43.0,3.0,265.0,5.0,266.137
1.0,914.0,12.0,6.0,1305.0,10.0,18.0,1.0,0.0,251.0,109.0,104.0,1.0,1302634496.0,0.79,0.7,0.0,1860602368.0,1990129152.0,32.0,0.0,811.0,1.0,40.0,3.0,269.0,5.0,271.156
0.0,0.0,13.0,6.0,1437.0,10.0,45.0,0.0,1.0,330.0,125.0,44.0,4.0,1608779977.0,0.65,0.57,1.0,1512769307.0,1305751864.0,69.0,0.0,935.0,1.0,41.0,1.0,431.0,6.0,254.273
0.0,0.0,13.0,6.0,904.0,14.0,55.0,1.0,1.0,374.0,114.0,113.0,10.0,1592598669.0,0.67,0.86,0.0,1588187199.0,1945801695.0,68.0,0.0,526.0,1.0,41.0,2.0,187.0,5.0,275.535
1.0,873.0,12.0,6.0,960.0,10.0,11.0,1.0,0.0,260.0,81.0,73.0,4.0,1561981775.0,0.63,0.52,0.0,1553168776.0,1848970598.0,36.0,1.0,705.0,0.0,37.0,5.0,144.0,5.0,284.586
1.0,952.0,12.0,6.0,1318.0,10.0,15.0,1.0,0.0,218.0,125.0,105.0,1.0,1239849472.0,0.79,0.69,0.0,1921209984.0,2060470656.0,29.0,1.0,811.0,1.0,43.0,3.0,263.0,5.0,255.967
1.0,858.0,12.0,6.0,1231.0,10.0,17.0,1.0,0.0,225.0,115.0,103.0,1.0,1343894272.0,0.74,0.69,0.0,1818724224.0,1994778752.0,32.0,1.0,788.0,1.0,40.0,3.0,265.0,5.0,285.813
1.0,848.0,11.0,6.0,1253.0,10.0,19.0,1.0,0.0,255.0,108.0,94.0,1.0,1402422656.0,0.76,0.69,0.0,1779937024.0,1791293952.0,36.0,1.0,797.0,1.0,39.0,3.0,258.0,5.0,250.867
0.0,0.0,13.0,6.0,832.0,9.0,64.0,1.0,0.0,486.0,43.0,40.0,1.0,1186545845.0,0.74,0.89,0.0,1605235013.0,1800756227.0,53.0,1.0,618.0,1.0,23.0,2.0,380.0,5.0,266.209
0.0,0.0,10.0,5.0,1135.0,8.0,35.0,1.0,1.0,442.0,46.0,121.0,9.0,2121648266.0,0.64,0.85,1.0,1936896100.0,1818354137.0,67.0,0.0,767.0,1.0,48.0,3.0,171.0,6.0,259.684
0.0,0.0,10.0,5.0,847.0,12.0,20.0,1.0,1.0,362.0,124.0,117.0,4.0,1707583249.0,0.74,0.81,1.0,1236085155.0,1351559630.0,72.0,0.0,692.0,0.0,25.0,1.0,183.0,1.0,546.55
1.0,851.0,11.0,6.0,1229.0,10.0,18.0,1.0,0.0,253.0,110.0,93.0,1.0,1379664640.0,0.76,0.69,0.0,1776605952.0,1816893312.0,35.0,0.0,806.0,1.0,40.0,3.0,258.0,5.0,251.916
1.0,815.0,11.0,6.0,1314.0,10.0,21.0,1.0,0.0,264.0,115.0,91.0,1.0,1447855104.0,0.74,0.69,0.0,1733732352.0,1718238848.0,38.0,0.0,787.0,1.0,39.0,3.0,271.0,5.0,276.267
1.0,799.0,11.0,6.0,1204.0,11.0,23.0,1.0,0.0,290.0,104.0,87.0,1.0,1448194048.0,0.75,0.7,0.0,1667868160.0,1715840128.0,42.0,0.0,803.0,1.0,37.0,3.0,285.0,5.0,272.204
0.0,0.0,12.0,6.0,797.0,11.0,27.0,1.0,1.0,350.0,121.0,41.0,5.0,1245961887.0,0.86,0.75,0.0,1239281035.0,1285630512.0,70.0,0.0,847.0,0.0,34.0,3.0,429.0,4.0,423.559
0.0,0.0,9.0,4.0,937.0,9.0,43.0,1.0,1.0,434.0,99.0,127.0,7.0,1286840903.0,0.8,0.59,1.0,1536359332.0,1575251531.0,41.0,0.0,656.0,0.0,41.0,2.0,287.0,5.0,1046.757
1.0,871.0,11.0,5.0,841.0,12.0,51.0,1.0,1.0,242.0,119.0,121.0,6.0,1417731359.0,0.82,0.78,1.0,1553895338.0,1703268732.0,27.0,0.0,891.0,0.0,20.0,1.0,389.0,4.0,492.048
1.0,869.0,11.0,6.0,1262.0,10.0,19.0,1.0,0.0,260.0,111.0,94.0,1.0,1360832384.0,0.76,0.7,0.0,1747152512.0,1804156928.0,35.0,1.0,818.0,1.0,40.0,3.0,252.0,5.0,257.563
1.0,822.0,11.0,6.0,1277.0,10.0,20.0,1.0,0.0,291.0,106.0,97.0,1.0,1382989824.0,0.77,0.7,0.0,1756151680.0,1822100992.0,36.0,1.0,821.0,1.0,40.0,3.0,264.0,5.0,274.845
1.0,836.0,11.0,6.0,1193.0,10.0,22.0,1.0,0.0,268.0,103.0,86.0,1.0,1439507968.0,0.75,0.69,0.0,1772961792.0,1768163840.0,37.0,1.0,798.0,1.0,37.0,3.0,275.0,6.0,264.192
0.0,0.0,11.0,5.0,1211.0,11.0,47.0,1.0,0.0,435.0,72.0,85.0,5.0,1161883046.0,0.69,0.86,1.0,1919274099.0,1608192675.0,41.0,1.0,992.0,0.0,38.0,4.0,259.0,10.0,331.756
0.0,0.0,10.0,5.0,647.0,12.0,51.0,0.0,0.0,367.0,52.0,65.0,2.0,1092647174.0,0.82,0.63,1.0,1259519327.0,2103999764.0,61.0,0.0,827.0,0.0,42.0,3.0,340.0,1.0,599.242
1.0,578.0,12.0,6.0,899.0,13.0,41.0,0.0,1.0,408.0,56.0,121.0,3.0,1917378989.0,0.65,0.67,0.0,1977633403.0,1462613833.0,42.0,1.0,535.0,1.0,21.0,5.0,443.0,4.0,262.355
1.0,858.0,11.0,6.0,1285.0,10.0,19.0,1.0,0.0,260.0,107.0,94.0,1.0,1363013632.0,0.76,0.69,0.0,1670912000.0,1756427264.0,35.0,0.0,813.0,1.0,40.0,3.0,250.0,5.0,260.726
1.0,839.0,11.0,6.0,1264.0,10.0,21.0,1.0,0.0,256.0,109.0,92.0,1.0,1447574528.0,0.76,0.71,0.0,1715227264.0,1822577920.0,37.0,0.0,809.0,1.0,40.0,3.0,256.0,5.0,268.816
1.0,851.0,11.0,6.0,1232.0,10.0,24.0,1.0,0.0,263.0,104.0,89.0,1.0,1450531200.0,0.75,0.68,0.0,1651986688.0,1731756672.0,38.0,0.0,775.0,1.0,38.0,3.0,264.0,5.0,275.241
0.0,0.0,13.0,6.0,976.0,9.0,63.0,0.0,1.0,326.0,39.0,54.0,5.0,1859266455.0,0.51,0.8,0.0,1299389581.0,2098812532.0,27.0,1.0,708.0,0.0,38.0,3.0,344.0,1.0,285.077
0.0,0.0,14.0,7.0,1613.0,13.0,14.0,0.0,0.0,481.0,59.0,124.0,7.0,1211701747.0,0.5,0.73,1.0,1173522301.0,1721180551.0,43.0,1.0,834.0,1.0,40.0,2.0,283.0,6.0,269.008
0.0,0.0,13.0,6.0,1441.0,10.0,38.0,1.0,1.0,231.0,41.0,90.0,9.0,1532642297.0,0.65,0.51,1.0,1128554561.0,2080562050.0,53.0,0.0,656.0,1.0,48.0,1.0,449.0,2.0,267.635
1.0,847.0,11.0,6.0,1269.0,10.0,19.0,1.0,0.0,272.0,102.0,91.0,1.0,1368081408.0,0.74,0.69,0.0,1670171776.0,1726349824.0,35.0,1.0,810.0,1.0,41.0,3.0,258.0,5.0,270.472
1.0,861.0,11.0,6.0,1297.0,10.0,18.0,1.0,0.0,265.0,113.0,88.0,1.0,1431289216.0,0.73,0.69,0.0,1684121600.0,1794138624.0,37.0,1.0,793.0,1.0,41.0,3.0,275.0,5.0,259.649
1.0,806.0,11.0,6.0,1341.0,11.0,24.0,1.0,0.0,284.0,99.0,88.0,1.0,1455457536.0,0.74,0.69,0.0,1673458944.0,1734371456.0,39.0,1.0,821.0,1.0,42.0,3.0,252.0,5.0,275.847
